"","pvalue","ARI","Gene","TruePvalue","Clustering","Thinning","GeneSymbol"
"345",0.404304021385613,0.0227673618082364,"ENSG00000147065",4.02170409377416e-29,"Univariate","Conditional","MSN"
"346",3.33229274526544e-38,0.392023258562411,"ENSG00000173660",1.71540971504606e-143,"Univariate","Conditional","UQCRH"
"347",1.42226569662007e-08,0.143939970390901,"ENSG00000204388",2.70568660856931e-70,"Univariate","Conditional","HSPA1B"
"348",7.06787518114967e-11,0.216820813499327,"ENSG00000140319",4.30220091521775e-88,"Univariate","Conditional","SRP14"
"349",0.000617570207755911,0.156824846659405,"ENSG00000062716",1.02703269962975e-58,"Univariate","Conditional","VMP1"
"350",1.69458240790527e-06,0.138261545648384,"ENSG00000011198",1.67417347151225e-62,"Univariate","Conditional","ABHD5"
"351",2.01163359159889e-35,0.345891871137724,"ENSG00000123349",4.94415201073736e-133,"Univariate","Conditional","PFDN5"
"352",0.0521166658706656,0.0447465805942109,"ENSG00000171051",7.73612358652303e-33,"Univariate","Conditional","FPR1"
"353",0.467579567854617,0.0632847115657091,"ENSG00000143815",4.35924229673823e-07,"Univariate","Conditional","LBR"
"354",8.87298689615977e-23,0.340484553436317,"ENSG00000075415",4.2742813960238e-124,"Univariate","Conditional","SLC25A3"
"355",0.0318418270572482,0.0848535769561377,"ENSG00000159140",8.08074820827001e-58,"Univariate","Conditional","SON"
"356",3.17745757712473e-21,0.294256999532628,"ENSG00000105968",1.60539489002568e-117,"Univariate","Conditional","H2AZ2"
"357",1.53790528703505e-38,0.345512892501976,"ENSG00000005022",9.69114627522051e-153,"Univariate","Conditional","SLC25A5"
"358",7.62178771598302e-37,0.379283968371316,"ENSG00000152234",9.86901727777706e-138,"Univariate","Conditional","ATP5F1A"
"359",4.6525935475966e-23,0.289185701311371,"ENSG00000099783",2.99779426903858e-113,"Univariate","Conditional","HNRNPM"
"360",7.37031799463072e-106,0.666867939644363,"ENSG00000118520",2.52713910159884e-174,"Univariate","Conditional","ARG1"
"361",6.00595382591782e-29,0.347464816059817,"ENSG00000169567",1.69018152388346e-148,"Univariate","Conditional","HINT1"
"362",6.1400518445361e-30,0.28400246892433,"ENSG00000253729",1.98776646039704e-142,"Univariate","Conditional","PRKDC"
"363",9.62326862139253e-22,0.268072072170402,"ENSG00000164733",5.57341898859772e-125,"Univariate","Conditional","CTSB"
"364",4.24932176093709e-07,0.108989468775007,"ENSG00000196924",3.85573986451187e-93,"Univariate","Conditional","FLNA"
"365",0.000472158870067179,0.0744640797554269,"ENSG00000107372",5.24781999351558e-39,"Univariate","Conditional","ZFAND5"
"366",0.253955635735513,0.0452939098336716,"ENSG00000134333",4.42632264746636e-37,"Univariate","Conditional","LDHA"
"367",1.10741140101369e-06,0.153807415455788,"ENSG00000170540",2.50792058795451e-69,"Univariate","Conditional","ARL6IP1"
"368",7.11931377673877e-47,0.366440787925432,"ENSG00000170515",8.55583971539e-161,"Univariate","Conditional","PA2G4"
"369",0.00016715782853238,0.067097948877403,"ENSG00000204525",1.02330319594809e-33,"Univariate","Conditional","HLA-C"
"370",3.90158872233315e-12,0.0863147376579628,"ENSG00000054654",3.8609114826692e-98,"Univariate","Conditional","SYNE2"
"371",5.82098017025446e-52,0.498266179214644,"ENSG00000158710",2.08219292112123e-149,"Univariate","Conditional","TAGLN2"
"372",1.83255093295201e-40,0.286855453839599,"ENSG00000163453",2.30492856098078e-164,"Univariate","Conditional","IGFBP7"
"373",1.51943584372749e-35,0.338812633373633,"ENSG00000148175",2.03490617626843e-132,"Univariate","Conditional","STOM"
"374",9.83185681518654e-41,0.424958542963449,"ENSG00000176340",1.48158926906612e-136,"Univariate","Conditional","COX8A"
"375",6.94497069015123e-24,0.35833279506001,"ENSG00000170315",7.65314422927697e-135,"Univariate","Conditional","UBB"
"376",4.63402699345863e-44,0.310946269558717,"ENSG00000111716",1.23389742327282e-174,"Univariate","Conditional","LDHB"
"377",0.761786855601227,-0.00275057604861786,"ENSG00000177156",2.02022641608192e-16,"Univariate","Conditional","TALDO1"
"378",6.28628672579283e-23,0.208274458087888,"ENSG00000085719",1.11669558880454e-103,"Univariate","Conditional","CPNE3"
"379",0.0151667111828556,0.0725864369973578,"ENSG00000138778",2.50044289881591e-45,"Univariate","Conditional","CENPE"
"380",3.05945734253981e-39,0.451507365866191,"ENSG00000180879",5.52800580405877e-155,"Univariate","Conditional","SSR4"
